,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan
1109,2023-10-11 13:41:31.221,1,2023-10-11 13:41:37.314,0,0 days 00:00:06.093000
1110,2023-10-11 13:41:45.437,1,2023-10-11 13:42:02.699,0,0 days 00:00:17.262000
1111,2023-10-11 13:42:13.868,1,2023-10-11 13:42:21.991,0,0 days 00:00:08.123000
1112,2023-10-11 13:42:29.114,1,2023-10-11 13:42:36.222,0,0 days 00:00:07.108000
1113,2023-10-11 13:42:55.515,1,2023-10-11 13:43:03.638,0,0 days 00:00:08.123000
1114,2023-10-11 13:43:10.745,1,2023-10-11 13:43:17.853,0,0 days 00:00:07.108000
1115,2023-10-11 13:43:21.915,1,2023-10-11 13:43:32.084,0,0 days 00:00:10.169000
1116,2023-10-11 13:43:44.269,1,2023-10-11 13:43:59.500,0,0 days 00:00:15.231000
1117,2023-10-11 13:44:04.577,1,2023-10-11 13:44:13.715,0,0 days 00:00:09.138000
1118,2023-10-11 13:44:17.777,1,2023-10-11 13:44:30.977,0,0 days 00:00:13.200000
1119,2023-10-11 13:44:38.101,1,2023-10-11 13:44:45.208,0,0 days 00:00:07.107000
1120,2023-10-11 13:44:50.285,1,2023-10-11 13:45:02.470,0,0 days 00:00:12.185000
1121,2023-10-11 13:45:57.317,1,2023-10-11 13:46:18.640,0,0 days 00:00:21.323000
1122,2023-10-11 13:46:23.717,1,2023-10-11 13:46:49.118,0,0 days 00:00:25.401000
1123,2023-10-11 13:46:52.164,1,2023-10-11 13:47:00.287,0,0 days 00:00:08.123000
1124,2023-10-11 13:47:18.564,1,2023-10-11 13:47:33.795,0,0 days 00:00:15.231000
1125,2023-10-11 13:47:39.887,1,2023-10-11 13:47:43.949,0,0 days 00:00:04.062000
1126,2023-10-11 13:47:49.026,1,2023-10-11 13:47:56.149,0,0 days 00:00:07.123000
1127,2023-10-11 13:48:03.257,1,2023-10-11 13:48:07.318,0,0 days 00:00:04.061000
1128,2023-10-11 13:48:10.365,1,2023-10-11 13:48:18.488,0,0 days 00:00:08.123000
1129,2023-10-11 13:48:27.626,1,2023-10-11 13:48:36.765,0,0 days 00:00:09.139000
1130,2023-10-11 13:48:46.919,1,2023-10-11 13:49:08.258,0,0 days 00:00:21.339000
1131,2023-10-11 13:49:12.319,1,2023-10-11 13:49:16.381,0,0 days 00:00:04.062000
1132,2023-10-11 13:49:20.442,1,2023-10-11 13:49:27.550,0,0 days 00:00:07.108000
1133,2023-10-11 13:49:34.658,1,2023-10-11 13:49:38.719,0,0 days 00:00:04.061000
1134,2023-10-11 13:49:44.812,1,2023-10-11 13:49:52.935,0,0 days 00:00:08.123000
1135,2023-10-11 13:49:56.997,1,2023-10-11 13:50:02.074,0,0 days 00:00:05.077000
1136,2023-10-11 13:50:08.181,1,2023-10-11 13:50:34.582,0,0 days 00:00:26.401000
1137,2023-10-11 13:50:49.813,1,2023-10-11 13:50:53.874,0,0 days 00:00:04.061000
1138,2023-10-11 13:50:56.920,1,2023-10-11 13:51:15.213,0,0 days 00:00:18.293000
1139,2023-10-11 13:51:30.444,1,2023-10-11 13:51:55.829,0,0 days 00:00:25.385000
1140,2023-10-11 13:51:59.890,1,2023-10-11 13:52:22.245,0,0 days 00:00:22.355000
1141,2023-10-11 13:52:32.399,1,2023-10-11 13:52:46.614,0,0 days 00:00:14.215000
